ID,オプション1,オプション2,オプション3,background,bgm
1,"「ネスに会ったが知らないと言っていた。
　ネスの周りにシカクマンの手がかりになりそうなものはなかった」",res\\image\\hoshiman00.png,,res\\image\\talkKaigan.png,
2,ホシマンはダイケイマンとサンカクマンに言った。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
3,「・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
4,「となるとガインか、モンスターか・・・？」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
5,"「モンスターに襲われた、のほうがあり得ると思う。
　ガインがシカクマンを誘拐するのがわからないし、
　仮にそうだとしたら人質を使ってゆすりに来るだろう」",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
6,「モンスターはこの島のどこにでもいる・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
7,「「「・・・」」」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,res\\image\\talkKaigan.png,
8,すでにシカクマンが行方不明となってから１週間が経過していた。,,,res\\image\\talkKaigan.png,
9,―――,,,res\\image\\talkKaigan.png,
10,さらに１週間後。,,,res\\image\\talkKaigan.png,res\\sound\\toudai.wav
11,シカクマンが行方不明となってから２週間。皆、諦め始めていた。,,,res\\image\\talkKaigan.png,
12,"ある日の昼、ガインがやってきた。
その日、ホシマンは遠出しておらず海岸洞窟にいた。
ガインはホシマンの方へ早歩きでやって来て、肩を強く掴んだ。",,res\\image\\gain00.png,res\\image\\talkKaigan.png,
13,「おい！　てめェ・・・」,,res\\image\\gain00.png,res\\image\\talkKaigan.png,
14,ホシマンは手を払おうとしたがガインはホシマンの首を掴んだ。,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
15,「舐めたマネしやがったな・・・。ブチ殺すぞこの野郎！！」,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
16,ガインがホシマンの顔面を殴った。,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
17,"ホシマンはよろめき倒れた。
ガインは倒れたホシマンに駆け寄るとホシマンの頭を何度も踏みつけた。",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
18,ホシマンは丸まって手で頭を守った。,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
19,「・・・！」,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
20,ホシマンの背中に激痛が走った。,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
21,"ガインはニヤけながらホシマンの背中やわき腹をナイフでつついていた。
故意に１センチ近く刺していた。",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
22,―――,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
23,（・・・っ）,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
24,（やはり殺すしか・・・）,res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
25,"ホシマンはガインの足首を掴んだ。
ホシマンが足を凍らせようと力を込めたとき、「ドス」という音がした。",res\\image\\hoshiman00.png,res\\image\\gain00.png,res\\image\\talkKaigan.png,
