ID,オプション1,オプション2,オプション3,background,bgm
1,"Star Man arrived at CentOZ Church.
Searching the grounds, he found the old woman.",res\\image\\hoshiman00.png,,,
2,"""Hello, long time no see.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
3,"""Hello.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
4,"""I need to ask you something.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
5,"""What is it?""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
6,"""Do you know the term 'Red Man'?""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
7,"""No.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
8,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
9,"""When a ghost and a monster merge, a human with a red body is born.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
10,"""...Huh?""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
11,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
12,"""Anyway, that's what happens.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
13,"""But it seems the red person dies in a week.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
14,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
15,"""If you know any way to prevent them from dying in a week,
please tell me.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
16,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
17,"""Sorry, I don't know.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
18,"""I see... Even if it seems unrelated,
anything you know would help.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
19,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
20,"""Hmm. I don't know anything.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
21,"""...""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
22,"""I see. Thank you.""",res\\image\\hoshiman00.png,res\\image\\rouba00.png,,
23,"After thanking the old woman, Star Man returned to the coastal cave.",res\\image\\hoshiman00.png,,,
