ID,オプション1,オプション2,オプション3,,
1,"２か月後、イカダ制作の完成が近づいてきていた。
イカダには帆がつけられ、追い風であれば
推力を得ることができるようになっていた。",,,,"・オプション1は表示したいテキスト
・半角英数字は使用禁止
・３行まで
・オプション2は左に表示したい画像
・オプション3は右に表示したい画像"
2,向かい風でも船を前進させる方法があるが、３人は知らなかった。,,,,
3,"存在することを知らなかったため、
調べようという発想に至ることができなかった。",,,,
4,逃走経路と貯蔵庫の作成が完了した。,,,,
5,貯蔵庫を２ヶ所決め、そこに食料を配置した。,,,,
6,"１ヶ所目は、以前、訪れたことのあるウブントゥ洞窟とした。
以前訪れたときは亡霊がいたため、すぐに引き返したが、
ホシマンの魔法力が向上したことにより",,,,
7,"余裕を持って討伐することができるようになっていた。
そうして中にいた亡霊をホシマンがすべて退治した。",,,,
8,"２ヶ所目は『レッドパット河畔』という場所にした。
（河畔というのは、川岸、河原のこと）",,,,
9,"生活するのに水が必要なため、
３人は、この場所を２ヶ所目の食料貯蔵庫に決めた。",,,,
10,ホシマンはウブントゥ洞窟とレッドパット河畔に食料と生活必需品を隠した。,,,,
11,「・・・。,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
12,　なぁ、ホシマン・・・」,res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
13,"ダイケイマンはホシマンに耳打ちした。
ホシマンがダイケイマンの方を見ると
ダイケイマンはサンカクマンの方を指さしていた。",res\\image\\hoshiman00.png,res\\image\\daikeiman00.png,,
14,サンカクマンが石を削ってナイフを作っていた。,res\\image\\sankakuman00.png,,,
15,"サンカクマンは武器の制作とトレーニングに励んでおり
復讐を企んでいるようだった。
しかし、ホシマンとダイケイマンのどちらもそのことに触れられなかった。",res\\image\\sankakuman00.png,,,
16,あの日以来、ネスとガインは現れなかった。,,,,
