ID,アイテム名,SubID,耐久度,,,,,
1,スマホ,11,999,,,,,
3,赤い実,11,999,,,,,
3,赤い実,12,999,,,,,
3,赤い実,13,999,,,,,
3,赤い実,14,999,,,,,
3,赤い実,15,999,,,,,
3,赤い実,16,999,,,,,
3,赤い実,17,999,,,,,
3,赤い実,18,999,,,,,
3,赤い実,19,999,,,,,
3,赤い実,20,999,,,,,
4,毒抜きした赤い実,11,999,,,,,
4,毒抜きした赤い実,12,999,,,,,
4,毒抜きした赤い実,13,999,,,,,
4,毒抜きした赤い実,14,999,,,,,
4,毒抜きした赤い実,15,999,,,,,
4,毒抜きした赤い実,16,999,,,,,
4,毒抜きした赤い実,17,999,,,,,
4,毒抜きした赤い実,18,999,,,,,
4,毒抜きした赤い実,19,999,,,,,
4,毒抜きした赤い実,20,999,,,,,
5,ココナッツの実,11,999,,,,,
5,ココナッツの実,12,999,,,,,
5,ココナッツの実,13,999,,,,,
5,ココナッツの実,14,999,,,,,
5,ココナッツの実,15,999,,,,,
5,ココナッツの実,16,999,,,,,
5,ココナッツの実,17,999,,,,,
5,ココナッツの実,18,999,,,,,
5,ココナッツの実,19,999,,,,,
5,ココナッツの実,20,999,,,,,
6,熟したココナッツの実,11,999,,,,,
6,熟したココナッツの実,12,999,,,,,
6,熟したココナッツの実,13,999,,,,,
6,熟したココナッツの実,14,999,,,,,
6,熟したココナッツの実,15,999,,,,,
6,熟したココナッツの実,16,999,,,,,
6,熟したココナッツの実,17,999,,,,,
6,熟したココナッツの実,18,999,,,,,
6,熟したココナッツの実,19,999,,,,,
6,熟したココナッツの実,20,999,,,,,
7,細長いどんぐり,11,999,,,,,
7,細長いどんぐり,12,999,,,,,
7,細長いどんぐり,13,999,,,,,
7,細長いどんぐり,14,999,,,,,
7,細長いどんぐり,15,999,,,,,
7,細長いどんぐり,16,999,,,,,
7,細長いどんぐり,17,999,,,,,
7,細長いどんぐり,18,999,,,,,
7,細長いどんぐり,19,999,,,,,
7,細長いどんぐり,20,999,,,,,
8,小さくて丸いどんぐり,11,999,,,,,
8,小さくて丸いどんぐり,12,999,,,,,
8,小さくて丸いどんぐり,13,999,,,,,
8,小さくて丸いどんぐり,14,999,,,,,
8,小さくて丸いどんぐり,15,999,,,,,
8,小さくて丸いどんぐり,16,999,,,,,
8,小さくて丸いどんぐり,17,999,,,,,
8,小さくて丸いどんぐり,18,999,,,,,
8,小さくて丸いどんぐり,19,999,,,,,
8,小さくて丸いどんぐり,20,999,,,,,
9,大きいどんぐり ,11,999,,,,,
9,大きいどんぐり ,12,999,,,,,
9,大きいどんぐり ,13,999,,,,,
9,大きいどんぐり ,14,999,,,,,
9,大きいどんぐり ,15,999,,,,,
9,大きいどんぐり ,16,999,,,,,
9,大きいどんぐり ,17,999,,,,,
9,大きいどんぐり ,18,999,,,,,
9,大きいどんぐり ,19,999,,,,,
9,大きいどんぐり ,20,999,,,,,
10,あく抜きをした大きいどんぐり,11,999,,,,,
10,あく抜きをした大きいどんぐり,12,999,,,,,
10,あく抜きをした大きいどんぐり,13,999,,,,,
10,あく抜きをした大きいどんぐり,14,999,,,,,
10,あく抜きをした大きいどんぐり,15,999,,,,,
10,あく抜きをした大きいどんぐり,16,999,,,,,
10,あく抜きをした大きいどんぐり,17,999,,,,,
10,あく抜きをした大きいどんぐり,18,999,,,,,
10,あく抜きをした大きいどんぐり,19,999,,,,,
10,あく抜きをした大きいどんぐり,20,999,,,,,
11,ハイビスカス,11,999,,,,,
11,ハイビスカス,12,999,,,,,
11,ハイビスカス,13,999,,,,,
11,ハイビスカス,14,999,,,,,
11,ハイビスカス,15,999,,,,,
11,ハイビスカス,16,999,,,,,
11,ハイビスカス,17,999,,,,,
11,ハイビスカス,18,999,,,,,
11,ハイビスカス,19,999,,,,,
11,ハイビスカス,20,999,,,,,
12,花輪,11,999,,,,,
12,花輪,12,999,,,,,
12,花輪,13,999,,,,,
12,花輪,14,999,,,,,
12,花輪,15,999,,,,,
12,花輪,16,999,,,,,
12,花輪,17,999,,,,,
12,花輪,18,999,,,,,
12,花輪,19,999,,,,,
12,花輪,20,999,,,,,
13,ツクシ,11,999,,,,,
13,ツクシ,12,999,,,,,
13,ツクシ,13,999,,,,,
13,ツクシ,14,999,,,,,
13,ツクシ,15,999,,,,,
13,ツクシ,16,999,,,,,
13,ツクシ,17,999,,,,,
13,ツクシ,18,999,,,,,
13,ツクシ,19,999,,,,,
13,ツクシ,20,999,,,,,
33,いい形の石（斧）,11,999,,,,,
33,いい形の石（斧）,12,999,,,,,
33,いい形の石（斧）,13,999,,,,,
33,いい形の石（斧）,14,999,,,,,
33,いい形の石（斧）,15,999,,,,,
33,いい形の石（斧）,16,999,,,,,
33,いい形の石（斧）,17,999,,,,,
33,いい形の石（斧）,18,999,,,,,
33,いい形の石（斧）,19,999,,,,,
33,いい形の石（斧）,20,999,,,,,
34,いい形の石（槍）,11,999,,,,,
34,いい形の石（槍）,12,999,,,,,
34,いい形の石（槍）,13,999,,,,,
34,いい形の石（槍）,14,999,,,,,
34,いい形の石（槍）,15,999,,,,,
34,いい形の石（槍）,16,999,,,,,
34,いい形の石（槍）,17,999,,,,,
34,いい形の石（槍）,18,999,,,,,
34,いい形の石（槍）,19,999,,,,,
34,いい形の石（槍）,20,999,,,,,
54,木の枝,11,999,,,,,
54,木の枝,12,999,,,,,
54,木の枝,13,999,,,,,
54,木の枝,14,999,,,,,
54,木の枝,15,999,,,,,
54,木の枝,16,999,,,,,
54,木の枝,17,999,,56,ツタ,11,999
54,木の枝,18,999,,,,,
54,木の枝,19,999,,,,,
54,木の枝,20,999,,,,,
55,細い木の幹,11,999,,,,,
55,細い木の幹,12,999,,,,,
55,細い木の幹,13,999,,,,,
55,細い木の幹,14,999,,,,,
55,細い木の幹,15,999,,,,,
55,細い木の幹,16,999,,,,,
55,細い木の幹,17,999,,,,,
55,細い木の幹,18,999,,,,,
55,細い木の幹,19,999,,,,,
55,細い木の幹,20,999,,,,,
55,細い木の幹,21,999,,,,,
55,細い木の幹,22,999,,,,,
55,細い木の幹,23,999,,,,,
