クラフトアイテム,強化値,クラフト可能,次のレベルを習得するのに必要なクラフト回数,現在のクラフト経験回数
イカダ,,○,1,0
イカダ,1,,1,0
イカダ,2,,1,0
イカダ,3,,1,0
イカダ,4,,1,0
イカダ,5,,1,0
イカダ,6,,1,0
イカダ,7,,1,0
イカダ,8,,1,0
イカダ,9,,1,0
イカダ,10,,,0
毒抜きした赤い実,,,,0
袋,,○,2,0
袋,1,,2,0
袋,2,,2,0
袋,3,,2,0
袋,4,,2,0
袋,5,,,0
木の棒,,○,2,0
木の棒,1,○,2,0
木の棒,2,,2,0
木の棒,3,,2,0
木の棒,4,,2,0
木の棒,5,,,0
石槍,,○,2,0
石槍,1,,2,0
石槍,2,,2,0
石槍,3,,2,0
石槍,4,,2,0
石槍,5,,,0
弓矢の弓,,,1,0
弓矢の弓,1,,1,0
弓矢の弓,2,,1,0
弓矢の弓,3,,1,0
弓矢の弓,4,,1,0
弓矢の弓,5,,1,0
弓矢の弓,6,,1,0
弓矢の弓,7,,1,0
弓矢の弓,8,,1,0
弓矢の弓,9,,1,0
弓矢の弓,10,,,0
弓矢の矢,,○,1,0
弓矢の矢,1,,,0
石付き鉄パイプ,,○,,0
アトラトル,,○,,0
アトラトルに使う槍,,○,1,0
アトラトルに使う槍,1,,1,0
アトラトルに使う槍,2,,1,0
アトラトルに使う槍,3,,1,0
アトラトルに使う槍,4,,1,0
アトラトルに使う槍,5,,,0
