ID,タイプ,PosX,PosY,PosZ,RotX,RotY,RotZ,残りHP,討伐済み
1,リッポウタイ,-1632.000000,30.000000,-2127.000000,0.000000,0.000000,0.000000,100,
2370,リッポウタイ,477.000000,22.000000,-2326.000000,0.000000,0.000000,0.000000,100,
2,リッポウタイ,-1641.000000,28.000000,-2127.000000,0.000000,0.000000,0.000000,100,
3756,リッポウタイ,-1892.000000,51.000000,-1884.000000,0.000000,0.000000,0.000000,100,
7206,キュウ,182.000000,695.000000,-1589.000000,0.000000,0.000000,0.000000,100,
489,リッポウタイ,-981.000000,137.000000,-2118.000000,0.000000,0.000000,0.000000,100,
5987,キュウ,-425.000000,475.000000,-1519.000000,0.000000,0.000000,0.000000,100,
38087,島民の霊,-17.000000,108.000000,2109.000000,0.000000,0.000000,0.000000,100,
3424,リッポウタイ,-1979.000000,75.000000,-1563.000000,0.000000,0.000000,0.000000,100,
1006,リッポウタイ,-582.000000,37.000000,-2309.000000,0.000000,0.000000,0.000000,100,
2733,リッポウタイ,755.000000,483.000000,-1953.000000,0.000000,0.000000,0.000000,100,
12234,エンチュウ,-686.000000,615.000000,-1224.000000,0.000000,0.000000,0.000000,100,
6476,キュウ,-95.000000,195.000000,-1884.000000,0.000000,0.000000,0.000000,100,
3,リッポウタイ,-1641.000000,23.000000,-2135.000000,0.000000,0.000000,0.000000,100,
5769,キュウ,-521.000000,484.000000,-1866.000000,0.000000,0.000000,0.000000,100,
28111,ハンキュウ,1154.000000,435.000000,-81.000000,0.000000,0.000000,0.000000,100,
37534,島民の霊,-1328.000000,74.000000,2248.000000,0.000000,0.000000,0.000000,100,
2363,リッポウタイ,477.000000,22.000000,-2326.000000,0.000000,0.000000,0.000000,100,
8001,キュウ,556.000000,989.000000,-1641.000000,0.000000,0.000000,0.000000,100,
4,リッポウタイ,-1632.000000,25.000000,-2135.000000,0.000000,0.000000,0.000000,100,
5762,キュウ,-512.000000,490.000000,-1858.000000,0.000000,0.000000,0.000000,100,
13157,エンチュウ,-651.000000,693.000000,-868.000000,0.000000,0.000000,0.000000,100,
483,リッポウタイ,-1016.000000,85.000000,-2153.000000,0.000000,0.000000,0.000000,100,
13336,エンチュウ,-78.000000,424.000000,-1128.000000,0.000000,0.000000,0.000000,100,
2726,リッポウタイ,755.000000,483.000000,-1953.000000,0.000000,0.000000,0.000000,100,
33897,オレンジリッポウタイ,69.000000,84.000000,1068.000000,0.000000,0.000000,0.000000,100,
27596,ハンエン,477.000000,441.000000,226.000000,0.000000,0.000000,0.000000,100,
1848,リッポウタイ,78.000000,32.000000,-2266.000000,0.000000,0.000000,0.000000,100,
5,リッポウタイ,-1641.000000,28.000000,-2127.000000,0.000000,0.000000,0.000000,100,
2883,リッポウタイ,278.000000,221.000000,-2101.000000,0.000000,0.000000,0.000000,100,
7625,キュウ,521.000000,619.000000,-1944.000000,0.000000,0.000000,0.000000,100,
6,リッポウタイ,-1649.000000,26.000000,-2127.000000,0.000000,0.000000,0.000000,100,
4748,キュウ,-998.000000,529.000000,-1684.000000,0.000000,0.000000,0.000000,100,
31603,ハンキュウ,356.000000,380.000000,538.000000,0.000000,0.000000,0.000000,100,
1696,リッポウタイ,-773.000000,254.000000,-2066.000000,0.000000,0.000000,0.000000,100,
493,リッポウタイ,-1007.000000,163.000000,-2092.000000,0.000000,0.000000,0.000000,100,
2721,リッポウタイ,720.000000,401.000000,-2005.000000,0.000000,0.000000,0.000000,100,
7195,キュウ,200.000000,713.000000,-1615.000000,0.000000,0.000000,0.000000,100,
994,リッポウタイ,-1363.000000,183.000000,-2014.000000,0.000000,0.000000,0.000000,100,
5476,キュウ,-616.000000,529.000000,-1840.000000,0.000000,0.000000,0.000000,100,
38702,島民の霊,330.000000,58.000000,1979.000000,0.000000,0.000000,0.000000,100,
16013,エンチュウ,1347.000000,338.000000,-1061.000000,0.000000,0.000000,0.000000,100,
7,リッポウタイ,-1649.000000,22.000000,-2135.000000,0.000000,0.000000,0.000000,100,
14656,エンチュウ,738.000000,948.000000,-1189.000000,0.000000,0.000000,0.000000,100,
2874,リッポウタイ,356.000000,254.000000,-2101.000000,0.000000,0.000000,0.000000,100,
35947,オレンジリッポウタイ,1016.000000,64.000000,1189.000000,0.000000,0.000000,0.000000,100,
14286,エンチュウ,425.000000,954.000000,-1224.000000,0.000000,0.000000,0.000000,100,
8,リッポウタイ,-1641.000000,23.000000,-2135.000000,0.000000,0.000000,0.000000,100,
7830,キュウ,608.000000,945.000000,-1736.000000,0.000000,0.000000,0.000000,100,
1877,リッポウタイ,234.000000,49.000000,-2274.000000,0.000000,0.000000,0.000000,100,
5587,キュウ,-833.000000,637.000000,-1684.000000,0.000000,0.000000,0.000000,100,
503,リッポウタイ,-998.000000,359.000000,-1953.000000,0.000000,0.000000,0.000000,100,
2730,リッポウタイ,764.000000,455.000000,-1962.000000,0.000000,0.000000,0.000000,100,
35632,オレンジリッポウタイ,868.000000,201.000000,851.000000,0.000000,0.000000,0.000000,100,
12951,エンチュウ,-599.000000,664.000000,-1059.000000,0.000000,0.000000,0.000000,100,
9,リッポウタイ,-1649.000000,26.000000,-2127.000000,0.000000,0.000000,0.000000,100,
2903,リッポウタイ,356.000000,415.000000,-2014.000000,0.000000,0.000000,0.000000,100,
5597,キュウ,-799.000000,639.000000,-1736.000000,0.000000,0.000000,0.000000,100,
10,リッポウタイ,-1658.000000,24.000000,-2127.000000,0.000000,0.000000,0.000000,100,
4752,キュウ,-964.000000,546.000000,-1701.000000,0.000000,0.000000,0.000000,100,
36046,オレンジリッポウタイ,972.000000,32.000000,1337.000000,0.000000,0.000000,0.000000,100,
14187,エンチュウ,512.000000,953.000000,-1172.000000,0.000000,0.000000,0.000000,100,
497,リッポウタイ,-1007.000000,174.000000,-2083.000000,0.000000,0.000000,0.000000,100,
1014,リッポウタイ,-642.000000,54.000000,-2283.000000,0.000000,0.000000,0.000000,100,
