ID,ÉÇÉfÉãñº,X,Y,Z,RotX,RotY,RotZ,Scale,ï\é¶
1,res\\model\\tree1\\tree1.x,-285,1,550,0.5,0.3,0,0.1,
2,res\\model\\tree1\\tree1.x,-290,1,545,0.5,0.6,0,0.1,
3,res\\model\\tree1\\tree1.x,-295,1,540,0.5,0.9,0,0.1,
4,res\\model\\tree1\\tree1.x,-300,1,535,0.5,1.2,0,0.1,
5,res\\model\\tree1\\tree1.x,-305,1,530,0.5,1.5,0,0.1,
6,res\\model\\tree1\\tree1.x,-310,1,525,0.5,1.8,0,0.1,
7,res\\model\\tree1\\tree1.x,-315,1,520,0.5,2.1,0,0.1,
8,res\\model\\tree1\\tree1.x,-320,1,515,0.5,2.4,0,0.1,
9,res\\model\\tree1\\tree1.x,-325,1,510,0.5,2.7,0,0.1,
10,res\\model\\tree1\\tree1.x,-330,1,505,0.5,3,0,0.1,
11,res\\model\\tree1\\tree1.x,-335,1,500,0.5,3.3,0,0.1,
12,res\\model\\tree1\\tree1.x,-340,1,495,0.5,3.6,0,0.1,
13,res\\model\\tree1\\tree1.x,-345,1,490,0.5,3.9,0,0.1,
14,res\\model\\tree1\\tree1.x,-350,1,485,0.5,4.2,0,0.1,
15,res\\model\\tree1\\tree1.x,-355,1,480,0.5,4.5,0,0.1,
16,res\\model\\rock1\\rock1.x,-310,1,525,0,0,0,10,Åõ
17,res\\model\\rock1\\rock1.x,-365,1,470,0,5.1,0,1,
18,res\\model\\rock1\\rock1.x,-370,1,465,0,5.4,0,1,
19,res\\model\\rock1\\rock1.x,-375,1,460,0,5.7,0,1,
