ID,タイプ,PosX,PosY,PosZ,RotX,RotY,RotZ,残りHP,討伐済み
1,リッポウタイ,-285.000000,16.000000,554.000000,0.000000,0.000000,0.000000,100,
2,キュウ,-285.000000,16.000000,556.000000,0.000000,0.000000,0.000000,100,
3,キュウ,-285.000000,16.000000,558.000000,0.000000,0.000000,0.000000,100,
4,キュウ,-285.000000,16.000000,560.000000,0.000000,0.000000,0.000000,100,
5,エンバン,-285.000000,16.000000,562.000000,0.000000,0.000000,0.000000,100,
6,リッポウタイ,-285.000000,16.000000,564.000000,0.000000,0.000000,0.000000,100,
7,リッポウタイ,-285.000000,16.000000,566.000000,0.000000,0.000000,0.000000,100,
8,リッポウタイ,-285.000000,16.000000,568.000000,0.000000,0.000000,0.000000,100,
9,リッポウタイ,-285.000000,16.000000,570.000000,0.000000,0.000000,0.000000,100,
10,リッポウタイ,-285.000000,16.000000,572.000000,0.000000,0.000000,0.000000,100,
11,リッポウタイ,-285.000000,16.000000,574.000000,0.000000,0.000000,0.000000,100,
12,リッポウタイ,-285.000000,16.000000,576.000000,0.000000,0.000000,0.000000,100,
13,リッポウタイ,-285.000000,16.000000,578.000000,0.000000,0.000000,0.000000,100,
14,リッポウタイ,-285.000000,16.000000,580.000000,0.000000,0.000000,0.000000,100,
15,リッポウタイ,-285.000000,16.000000,582.000000,0.000000,0.000000,0.000000,100,
16,リッポウタイ,-285.000000,16.000000,584.000000,0.000000,0.000000,0.000000,100,
