ID,ÉÇÉfÉãñº,X,Y,Z,RotX,RotY,RotZ,Scale,ï\é¶
1,res\\model\\tree1\\tree1.x,-285.000000,11.000000,550.000000,0.000000,0.000000,0.000000,1.000000,Åõ
2,res\\model\\tree1\\tree1.x,-290.000000,11.000000,545.000000,0.000000,0.000000,0.000000,1.000000,Åõ
3,res\\model\\tree1\\tree1.x,-295.000000,11.000000,540.000000,0.000000,0.000000,0.000000,1.000000,Åõ
4,res\\model\\tree1\\tree1.x,-300.000000,11.000000,535.000000,0.000000,0.000000,0.000000,1.000000,Åõ
5,res\\model\\tree1\\tree1.x,-305.000000,11.000000,530.000000,0.000000,0.000000,0.000000,1.000000,Åõ
6,res\\model\\tree1\\tree1.x,-310.000000,11.000000,525.000000,0.000000,0.000000,0.000000,1.000000,Åõ
7,res\\model\\tree1\\tree1.x,-315.000000,11.000000,520.000000,0.000000,0.000000,0.000000,1.000000,Åõ
8,res\\model\\tree1\\tree1.x,-320.000000,11.000000,515.000000,0.000000,0.000000,0.000000,1.000000,Åõ
9,res\\model\\tree1\\tree1.x,-325.000000,11.000000,510.000000,0.000000,0.000000,0.000000,1.000000,Åõ
10,res\\model\\tree1\\tree1.x,-330.000000,11.000000,505.000000,0.000000,0.000000,0.000000,1.000000,Åõ
11,res\\model\\tree1\\tree1.x,-335.000000,11.000000,500.000000,0.000000,0.000000,0.000000,1.000000,Åõ
12,res\\model\\tree1\\tree1.x,-340.000000,11.000000,495.000000,0.000000,0.000000,0.000000,1.000000,Åõ
13,res\\model\\tree1\\tree1.x,-345.000000,11.000000,490.000000,0.000000,0.000000,0.000000,1.000000,Åõ
14,res\\model\\tree1\\tree1.x,-350.000000,11.000000,485.000000,0.000000,0.000000,0.000000,1.000000,Åõ
15,res\\model\\tree1\\tree1.x,-355.000000,11.000000,480.000000,0.000000,0.000000,0.000000,1.000000,Åõ
16,res\\model\\tree1\\tree1.x,-310.000000,11.000000,525.000000,0.000000,0.000000,0.000000,1.000000,Åõ
17,res\\model\\tree1\\tree1.x,-365.000000,11.000000,470.000000,0.000000,0.000000,0.000000,1.000000,Åõ
18,res\\model\\tree1\\tree1.x,-370.000000,11.000000,465.000000,0.000000,0.000000,0.000000,1.000000,Åõ
19,res\\model\\rock1\\rock1.x,-280.000000,11.000000,580.000000,0.000000,0.000000,0.000000,4.000000,Åõ
